brand,recall,recog,prefer,mostperfer,trust,mosttrust,charact,used,mostused,next
國泰人壽,.658,.956,.574,.238,.581,.238,.198,.418,.243,.222
南山人壽,.578,.921,.516,.179,.502,.18,.149,.326,.174,.177
富邦人壽,.461,.829,.312,.115,.314,.105,.082,.223,.106,.112
新光人壽,.395,.854,.262,.037,.261,.075,.067,.193,.097,.065
中華郵政壽險,.154,.843,.256,.077,.285,.116,.096,.184,.052,.087
三商美邦人壽,.294,.741,.22,.076,.209,.068,.086,.135,.077,.085
台灣人壽,.205,.695,.138,.039,.139,.036,.049,.069,.027,.035
保誠人壽,.119,.651,.102,.034,.094,.038,.045,.065,.024,.033
中國信託人壽,.08,.645,.078,.024,.083,.021,.022,.049,.015,.015
中國人壽,.12,.598,.047,.014,.047,.016,.015,.06,.013,.014
康健人壽,.13,.574,.064,.02,.055,.009,.055,.041,.009,.024
遠雄人壽,.055,.52,.033,.012,.034,.008,.016,.029,.01,.015
全球人壽,.079,.488,.036,.015,.03,.009,.017,.044,.011,.015
國華人壽,.076,.456,.035,.009,.036,.012,.009,.038,.012,.008
臺銀人壽,.023,.447,.044,.018,.047,.02,.023,.031,.011,.014
友邦人壽,.055,.447,.037,.007,.033,.005,.011,.025,.012,.006
紐約人壽,.024,.311,.018,.007,.016,.008,.007,.015,.005,.008
安聯人壽,.029,.291,.021,.006,.02,.006,.007,.016,.008,.009
保德信人壽,.017,.284,.024,.009,.021,.007,.008,.015,.003,.012
宏利人壽,.032,.297,.009,.003,.007,.002,.005,.014,.002,0
幸福人壽,.017,.297,.007,0,.005,.001,.008,.013,.003,.006
匯豐人壽,.009,.282,.018,.006,.017,.005,.004,.005,.004,.005
合庫人壽,.004,.273,.007,.001,.012,.001,.002,.003,.001,.002
蘇黎世人壽,.014,.238,.015,.006,.012,.003,.001,.008,.002,.003
第一人壽,.018,.235,.011,.002,.011,.001,.001,.005,.002,.001
國寶人壽,.013,.231,.01,.001,.011,.002,.002,.007,.004,.002
宏泰人壽,.011,.223,.011,.003,.009,.004,.005,.014,.006,.001
巴黎人壽,.011,.203,.012,.003,.011,.001,.006,.006,.001,.002
中泰人壽,.006,.152,.005,.003,.005,.003,.003,.005,.002,.003
朝陽人壽,.003,.141,.003,0,.003,0,0,.002,0,.002
