brand,recall,recog,prefer,mostperfer,trust,mosttrust,charact,used,mostused,next
永慶房屋,.629,.955,.671,.243,.684,.254,.204,.31,.125,.199
信義房屋,.563,.948,.622,.277,.617,.283,.217,.31,.125,.229
東森房屋,.25,.811,.228,.06,.234,.059,.054,.09,.027,.048
台灣房屋,.225,.713,.231,.074,.232,.075,.064,.114,.027,.055
有巢氏房屋,.236,.734,.21,.063,.198,.057,.099,.081,.028,.062
住商不動產,.159,.723,.19,.039,.183,.04,.036,.075,.036,.044
591售屋網,.15,.611,.176,.072,.163,.062,.087,.189,.125,.095
太平洋房屋,.127,.691,.139,.041,.141,.04,.035,.065,.028,.041
21世紀房屋,.145,.599,.127,.043,.124,.046,.043,.063,.032,.044
中信房屋,.104,.652,.103,.029,.11,.031,.023,.043,.017,.023
奇集集,.109,.562,.096,.03,.086,.025,.069,.121,.033,.043
好房產房屋,.022,.279,.049,.012,.047,.006,.017,.07,.015,.016
樂屋網,.009,.243,.02,.006,.021,.006,.014,.018,.004,.012
春耕不動產,.01,.173,.011,.003,.012,.005,.007,.006,.001,.004
易而安不動產,.004,.157,.0085,.002,.005,.002,.004,.006,.003,.003
巨東房屋,.005,.139,.006,0,.007,.001,0,0,0,.001
台糖房屋,.004,.098,.018,.005,.02,.007,.01,.008,.001,.01
振達房屋,0,.1,.004,0,.004,0,.001,.001,0,.001
