使用信用卡支付的消費頻率,過往能使用電子支付情境下，通常的消費額度,在使用電子支付付款當下，會同時考量排隊人潮是否眾多（1完全不考量，5總是考量）,信用卡紅利的累計程度（1完全不累積，5常累積許多紅利）,我身邊同儕使用電子支付之多寡（1幾乎都沒有，5大部分都有）,總體滿意度_高,在「能使用」電子支付的場合，使用電子支付之頻率_高頻
5,1,2,2,3,1,1
2,1,2,4,2,1,1
1,1,1,5,3,0,0
1,1,1,1,1,1,1
1,1,5,1,1,1,1
2,1,1,4,3,1,1
4,1,2,2,2,0,1
5,1,4,3,2,0,1
5,2,2,4,4,1,1
3,1,2,1,2,0,1
2,1,2,4,4,0,1
3,1,2,1,4,0,1
2,1,1,5,4,1,1
5,1,1,1,4,0,1
1,1,3,5,2,1,1
4,1,1,5,2,1,0
5,2,5,3,3,1,0
4,2,3,2,3,0,0
5,1,2,1,2,0,1
5,1,2,2,5,0,0
4,1,3,2,5,1,1
4,1,1,4,5,1,1
4,1,1,2,3,1,0
5,2,1,1,5,1,0
2,1,1,5,5,1,1
4,1,4,1,4,0,1
4,1,2,2,2,0,0
5,1,1,4,3,1,1
4,1,5,5,1,1,0
3,1,3,3,2,0,1
4,1,4,3,3,1,0
3,1,1,3,4,0,0
3,1,1,3,4,0,1
4,1,1,3,4,1,1
4,1,5,2,3,1,1
2,2,3,3,3,1,0
3,3,3,3,5,1,1
2,2,5,5,4,1,1
2,1,1,5,1,0,1
3,1,1,5,2,0,1
4,1,2,3,4,1,1
5,1,1,3,2,0,0
4,1,1,1,2,1,1
5,1,4,3,5,1,0
3,1,2,2,2,0,1
1,1,5,5,4,1,1
2,1,4,4,2,1,1
2,1,4,5,2,0,1
3,4,1,5,4,1,1
3,1,4,3,2,1,1
2,2,5,4,4,1,1
2,1,5,3,2,0,1
1,1,1,5,3,1,1
2,1,4,5,5,0,1
1,1,1,5,5,1,1
2,1,5,4,3,1,1
3,1,2,5,2,0,1
1,1,1,5,2,0,1
4,1,1,4,1,1,1
1,1,3,4,3,0,1
2,1,1,3,3,1,1
2,1,3,2,3,1,1
1,4,4,4,2,0,1
3,1,1,5,1,1,1
3,1,1,5,1,0,1
4,1,2,2,4,1,1
2,3,5,5,3,1,1
1,2,1,1,3,0,1
2,1,2,4,1,0,1
4,1,3,5,3,1,1
2,1,2,3,2,0,1
3,2,1,1,1,0,1
4,1,1,1,2,0,1
3,1,4,3,3,0,1
1,4,2,5,2,0,0
4,1,1,1,2,0,1
2,1,2,4,3,0,1
2,1,3,3,4,0,1
1,1,3,5,3,0,1
2,4,3,5,3,1,1
2,3,4,4,2,1,1
5,1,1,4,3,1,1
2,1,4,5,2,0,1
1,1,1,1,3,1,1
1,2,2,5,2,1,1
3,1,1,5,3,1,1
1,1,1,5,2,1,1
3,1,2,5,3,0,1
3,3,1,5,2,0,1
3,1,1,2,4,1,1
1,1,2,5,3,1,1
1,4,2,3,3,0,1
3,1,1,1,3,0,1
1,1,2,3,4,1,1
5,1,1,1,3,0,1
2,1,1,5,3,1,1
2,1,1,5,3,0,1
1,1,4,4,4,0,1
1,1,1,2,2,1,1
1,1,1,5,2,1,1
2,1,1,2,2,0,1
1,2,1,2,1,1,1
3,3,4,5,2,0,1
2,2,2,2,3,0,1
2,1,3,4,5,0,1
3,1,1,4,1,0,1
2,1,3,2,2,0,1
3,2,1,5,1,1,1
2,1,1,4,2,0,1
2,1,2,3,4,0,0
1,1,1,5,2,1,1
3,1,1,4,2,1,1
3,1,1,2,1,0,1
1,1,3,5,2,0,1
4,1,1,1,3,0,1
5,1,1,3,2,1,1
1,1,2,5,2,0,1
3,2,1,4,4,1,1
3,1,1,4,3,1,1
3,1,3,3,3,1,1
1,1,1,4,4,0,1
4,1,1,3,2,0,1
4,1,1,4,2,0,1
1,1,1,4,3,0,1
4,1,1,1,2,0,1
3,1,1,5,4,1,1
1,1,2,5,3,0,1
2,1,1,4,2,1,1
1,1,4,4,1,1,1
2,1,4,4,3,1,1
4,2,1,1,2,1,1
2,1,2,5,2,0,1
1,1,1,1,2,0,1
4,1,1,1,2,1,1
3,1,3,2,2,0,1
2,2,2,3,2,1,1
3,1,3,3,3,1,0
2,2,1,5,3,1,1
2,4,2,5,3,1,1
2,1,1,2,2,0,1
2,2,2,4,4,0,1
1,1,1,5,1,0,1
2,1,1,4,5,1,1
1,1,2,4,3,0,1
4,1,4,4,4,0,0
1,1,1,1,1,1,1
1,1,1,3,2,0,1
5,1,4,2,3,1,1
5,1,1,1,5,1,1
1,1,1,5,2,0,1
1,1,5,5,4,1,1
5,1,1,3,2,0,1
3,1,3,3,3,0,1
3,1,1,5,4,0,1
3,1,1,5,1,1,1
2,1,2,5,3,1,1
1,1,5,5,4,1,1
4,1,1,1,5,1,1
5,1,5,4,3,0,0
3,1,1,1,3,0,1
5,1,4,3,1,0,1
1,1,1,5,3,1,1
1,1,1,5,1,1,1
1,1,1,3,2,0,1
4,1,4,1,2,1,1
2,2,4,4,4,1,1
5,1,4,4,2,1,1
3,1,2,5,4,0,1
3,1,1,2,3,1,1
2,4,3,4,2,0,1
1,1,1,5,3,0,1
3,1,2,5,5,1,1
3,1,2,4,3,1,1
