總體滿意度,使用信用卡支付的消費頻率,過往能使用電子支付情境下，通常的消費額度,在使用電子支付付款當下，會同時考量排隊人潮是否眾多（1完全不考量，5總是考量）,信用卡紅利的累計程度（1完全不累積，5常累積許多紅利）,我身邊同儕使用電子支付之多寡（1幾乎都沒有，5大部分都有）,在「能使用」電子支付的場合，使用電子支付之頻率_低頻,在「能使用」電子支付的場合，使用電子支付之頻率_高頻
0.13853291502281742,5,1,2,2,3,0,1
2.0824784956047213,2,1,2,4,2,0,1
-1.1305478260741535,1,1,1,5,3,1,0
1.7859234500455794,1,1,1,1,1,0,1
1.6968657022576545,1,1,5,1,1,0,1
2.3102803048775873,2,1,1,4,3,0,1
-1.6118789605753983,4,1,2,2,2,0,1
-0.8984723150105991,5,1,4,3,2,0,1
0.0980711375814025,5,2,2,4,4,0,1
-0.9711938446907576,3,1,2,1,2,0,1
-0.6680532823820099,2,1,2,4,4,0,1
-1.94381475308306,3,1,2,1,4,0,1
2.7671199938557445,2,1,1,5,4,0,1
-1.4497927562305435,5,1,1,1,4,0,1
0.17776305471719,1,1,3,5,2,0,1
0.7464244244295222,4,1,1,5,2,1,0
0.4005650686667829,5,2,5,3,3,1,0
-2.2718671689174363,4,2,3,2,3,1,0
-1.3884959355840942,5,1,2,1,2,0,1
-0.2804238032568323,5,1,2,2,5,1,0
0.1006883609371254,4,1,3,2,5,0,1
0.4207123879592356,4,1,1,4,5,0,1
1.8780939058084158,4,1,1,2,3,1,0
0.8479411843085949,5,2,1,1,5,1,0
0.5890555030756555,2,1,1,5,5,0,1
-0.9001287934455642,4,1,4,1,4,0,1
-0.028634319814932044,4,1,2,2,2,1,0
2.7383548465419687,5,1,1,4,3,0,1
2.208763544998515,4,1,5,5,1,1,0
-0.7604499613656724,3,1,3,3,2,0,1
2.2047651687194936,4,1,4,3,3,1,0
-0.6999227095033511,3,1,1,3,4,1,0
-0.5678026758204999,3,1,1,3,4,0,1
0.6129448925411649,4,1,1,3,4,0,1
2.085095718960444,4,1,5,2,3,0,1
1.1646872602436167,2,2,3,3,3,1,0
3.3777738091090463,3,3,3,3,5,0,1
0.8062577938262883,2,2,5,5,4,0,1
-1.0875521886285289,2,1,1,5,1,0,1
-1.197928614737716,3,1,1,5,2,0,1
1.6116851604863482,4,1,2,3,4,0,1
-0.017898434608050684,5,1,1,3,2,1,0
2.157847331525741,4,1,1,1,2,0,1
0.3707885556614425,5,1,4,3,5,1,0
-3.414473202963951,3,1,2,2,2,0,1
0.556291979482858,1,1,5,5,4,0,1
0.3446406317033896,2,1,4,4,2,0,1
-2.343942067374228,2,1,4,5,2,0,1
2.280134004640513,3,4,1,5,4,0,1
1.4612122229176197,3,1,4,3,2,0,1
3.1499719998361804,2,2,5,4,4,0,1
-2.9976311723412397,2,1,5,3,2,0,1
3.3777738091090463,1,1,1,5,3,0,1
-0.9366588430572591,2,1,4,5,5,0,1
1.2138319956756893,1,1,1,5,5,0,1
0.5675666831279895,2,1,5,4,3,0,1
-0.620458731079752,3,1,2,5,2,0,1
-0.054361835770444164,1,1,1,5,2,0,1
2.540699337506177,4,1,1,4,1,0,1
-1.752476344972587,1,1,3,4,3,0,1
1.4430595330376432,2,1,1,3,3,0,1
1.0641297268053351,2,1,3,2,3,0,1
-1.737286628399947,1,4,4,4,2,0,1
